0,"{'subject': 'German', 'relation': 'uses exclamation mark for', 'object': 'end'}"
1,"{'subject': 'German', 'relation': 'uses exclamation mark for', 'object': 'substandard'}"
2,"{'subject': 'German', 'relation': 'uses exclamation mark for', 'object': 'signs'}"
3,"{'subject': 'German', 'relation': 'uses exclamation mark for', 'object': "')."}"
4,"{'subject': 'German', 'relation': 'uses exclamation mark for', 'object': 'may used in salutation line of letter'}"
5,"{'subject': 'German', 'relation': 'uses exclamation mark for', 'object': "(English: 'Dear Hans,')."}"
6,"{'subject': 'German', 'relation': 'uses exclamation mark for', 'object': 'However equally correct'}"
7,"{'subject': 'Unicode and HTML', 'relation': 'include', 'object': 'U+0021!EXCLAMATION MARK (HTML &#33;, &excl;[a])'}"
8,"{'subject': 'Related forms', 'relation': 'are', 'object': 'U+00A1¡INVERTED EXCLAMATION MARK (HTML &#161;·&iexcl;)'}"
9,"{'subject': 'Related forms', 'relation': 'are', 'object': 'U+01C3ǃLATIN LETTER RETROFLEX CLICK (HTML &#451;) (In IPA: alveolar click)'}"
10,"{'subject': 'Related forms', 'relation': 'are', 'object': 'U+203C‼DOUBLE EXCLAMATION MARK (HTML &#8252;) (for use in vertical text)'}"
11,"{'subject': 'Related forms', 'relation': 'are', 'object': 'U+203D‽INTERROBANG'}"
12,"{'subject': 'Related forms', 'relation': 'are', 'object': 'U+2048⁈QUESTION EXCLAMATION MARK (HTML &#8264;) (for use in vertical text)'}"
13,"{'subject': 'Related forms', 'relation': 'are', 'object': 'U+2049⁉EXCLAMATION QUESTION MARK (HTML &#8265;) (for use in vertical text)'}"
14,"{'subject': 'Related forms', 'relation': 'are', 'object': 'U+26A0⚠WARNING SIGN (HTML &#9888;) (exclamation mark in triangle)'}"
15,"{'subject': 'Related forms', 'relation': 'are', 'object': 'U+2757❗HEAVY EXCLAMATION MARK SYMBOL (HTML &#10071;)'}"
16,"{'subject': 'Related forms', 'relation': 'are', 'object': 'U+2762❢HEAVY EXCLAMATION MARK ORNAMENT (HTML &#10082;)'}"
17,"{'subject': 'Related forms', 'relation': 'are', 'object': 'U+2763❣HEAVY HEART EXCLAMATION MARK ORNAMENT (HTML &#10083;)'}"
18,"{'subject': 'Related forms', 'relation': 'are', 'object': 'U+A71DꜝMODIFIER LETTER RAISED EXCLAMATION MARK (HTML &#42781;)'}"
19,"{'subject': 'Related forms', 'relation': 'are', 'object': 'U+A71EꜞMODIFIER LETTER RAISED INVERTED EXCLAMATION MARK (HTML &#42782;)'}"
20,"{'subject': 'Related forms', 'relation': 'are', 'object': 'U+A71FꜟMODIFIER LETTER LOW INVERTED EXCLAMATION MARK (HTML &#42783;)'}"
21,"{'subject': 'Related forms', 'relation': 'are', 'object': 'U+FE57﹗SMALL EXCLAMATION MARK (HTML &#65111;) (for special applications within CJK text)'}"
22,"{'subject': 'Related forms', 'relation': 'are', 'object': 'U+FF01！FULLWIDTH EXCLAMATION MARK (HTML &#65281;) (for special applications within CJK text)'}"
23,"{'subject': 'Related forms', 'relation': 'are', 'object': 'U+E0021TAG EXCLAMATION MARK (HTML &#917537;)'}"
24,"{'subject': 'EPs', 'relation': 'include', 'object': 'GSL26/Lab Series Vol.'}"
